pd_timestamp,relative_timestamp,activity,activity_file,case_id,path
86319,1413475,stat64,stat64 | codeStyleSettings.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/codeStyleSettings.xml\0"""
86335,20215,stat64,stat64 | webServers.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/webServers.xml\0"""
86337,753145,stat64,stat64 | vcs.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/vcs.xml\0"""
86371,20577,stat64,stat64 | gradle.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/gradle.xml\0"""
86380,10402,stat64,stat64 | compiler.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/compiler.xml\0"""
86439,21326,stat64,stat64 | ant.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/ant.xml\0"""
86479,253099,access,access | kotlinc.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/kotlinc.xml\0"""
86754,19035,lstat,lstat | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/auth-server/pom.xml\0"""
86764,1116942,getattrlist,getattrlist | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/auth-server/pom.xml\0"""
86769,19125,lstat,lstat | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/eureka-server/pom.xml\0"""
86779,1117186,getattrlist,getattrlist | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/eureka-server/pom.xml\0"""
86784,19205,lstat,lstat | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/gateway-server/pom.xml\0"""
86794,1117386,getattrlist,getattrlist | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/gateway-server/pom.xml\0"""
86799,19283,lstat,lstat | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/main-service/pom.xml\0"""
86809,1117559,getattrlist,getattrlist | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/main-service/pom.xml\0"""
86814,19339,lstat,lstat | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/video-service/pom.xml\0"""
86824,1117697,getattrlist,getattrlist | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/video-service/pom.xml\0"""
86828,19499,lstat,lstat | profiles.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/auth-server/profiles.xml\0"""
86850,19569,lstat,lstat | jvm.config,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/auth-server/.mvn/jvm.config\0"""
86857,19607,lstat,lstat | maven.config,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/auth-server/.mvn/maven.config\0"""
86861,1118146,open,open | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/auth-server/pom.xml\0"""
86864,1118257,open,open | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/auth-server/pom.xml\0"""
