,relative_timestamp,operation,p1,p2,p3
64975,1233042,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/heads/master\0""",0x70001032F360,0x0
64981,1233110,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/heads/master\0""",0x0,0x0
64983,1233138,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/heads/master\0""",0x70001032EE70,0x0
64986,1233176,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/heads/master\0""",0x70001032F470,0x0
64987,1233185,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/remotes\0""",0x70001032F4F0,0x0
64988,1233194,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/remotes\0""",0x70001032F360,0x0
64989,1233198,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/remotes\0""",0x70001032F470,0x0
64990,1233215,open_nocancel,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/remotes\0""",0x1100004,0x0
64994,1233247,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/remotes/origin\0""",0x70001032F360,0x0
64995,1233253,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/remotes/origin\0""",0x70001032F470,0x0
64996,1233269,open_nocancel,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/remotes/origin\0""",0x1100004,0x0
65000,1233295,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/remotes/origin/HEAD\0""",0x70001032F360,0x0
65003,1233337,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/remotes/origin/HEAD\0""",0x0,0x0
65005,1233348,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/remotes/origin/HEAD\0""",0x70001032EE70,0x0
65011,1233421,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/remotes/origin/HEAD\0""",0x70001032F470,0x0
65012,1233485,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/HEAD\0""",0x0,0x0
65014,1233500,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/HEAD\0""",0x70001032F230,0x0
65017,1233557,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/MERGE_HEAD\0""",0x70001032F590,0x0
65018,1233561,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/rebase-apply\0""",0x70001032F590,0x0
65019,1233564,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/rebase-merge\0""",0x70001032F590,0x0
65020,1233568,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/CHERRY_PICK_HEAD\0""",0x70001032F590,0x0
65021,1233570,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/REVERT_HEAD\0""",0x70001032F590,0x0
65022,1233588,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/shallow\0""",0x70001032F690,0x0
65023,1233604,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/hooks/pre-commit\0""",0x70001032F620,0x0
65024,1233608,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/hooks/commit-msg\0""",0x70001032F620,0x0
65025,1233614,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/hooks/pre-push\0""",0x70001032F620,0x0
65028,1233655,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.gitmodules\0""",0x70001032F640,0x0
65029,1234041,open,"""/Users/vakosta/Library/Application","Support/JetBrains/Idea/consentOptions/cached\0""",0x0
65030,1234104,open,"""/Users/vakosta/Library/Application","Support/JetBrains/consentOptions/accepted\0""",0x0
65052,17021209,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/mainservice/services/RoomService.kt\0""",0x700010B44950,0x0
65053,17021220,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/mainservice/services/RoomService.kt\0""",0x700010B44920,0x0
65064,17021650,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata\0""",0x700010B445B0,0x0
65065,17021659,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata\0""",0x700010B445B0,0x0
65402,2636342,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/mainservice/controllers/.editorconfig\0""",0x700010636360,0x0
65403,2636352,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/mainservice/.editorconfig\0""",0x700010636360,0x0
65404,2636357,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/.editorconfig\0""",0x700010636360,0x0
65405,2636360,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/.editorconfig\0""",0x700010636360,0x0
65406,2636364,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/.editorconfig\0""",0x700010636360,0x0
65407,2636367,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/.editorconfig\0""",0x700010636360,0x0
65410,2636372,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/.editorconfig\0""",0x700010636360,0x0
65413,2636377,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/.editorconfig\0""",0x700010636360,0x0
65414,2636383,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.editorconfig\0""",0x700010636360,0x0
65417,2636398,stat64,"""/Users/vakosta/Developer/IdeaProjects/.editorconfig\0""",0x700010636360,0x0
65418,2636401,stat64,"""/Users/vakosta/Developer/.editorconfig\0""",0x700010636360,0x0
65419,2636404,stat64,"""/Users/vakosta/.editorconfig\0""",0x700010636360,0x0
65420,2636407,stat64,"""/Users/.editorconfig\0""",0x700010636360,0x0
65475,2636596,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/mainservice/controllers/.editorconfig\0""",0x700010636360,0x0
65476,2636604,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/mainservice/.editorconfig\0""",0x700010636360,0x0
65477,2636608,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/.editorconfig\0""",0x700010636360,0x0
65478,2636611,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/.editorconfig\0""",0x700010636360,0x0
65479,2636615,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/.editorconfig\0""",0x700010636360,0x0
65480,2636618,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/.editorconfig\0""",0x700010636360,0x0
65481,2636622,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/.editorconfig\0""",0x700010636360,0x0
65482,2636625,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/.editorconfig\0""",0x700010636360,0x0
65485,2636629,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.editorconfig\0""",0x700010636360,0x0
65486,2636631,stat64,"""/Users/vakosta/Developer/IdeaProjects/.editorconfig\0""",0x700010636360,0x0
65487,2636635,stat64,"""/Users/vakosta/Developer/.editorconfig\0""",0x700010636360,0x0
65488,2636638,stat64,"""/Users/vakosta/.editorconfig\0""",0x700010636360,0x0
65489,2636641,stat64,"""/Users/.editorconfig\0""",0x700010636360,0x0
65724,2636814,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/mainservice/entities/.editorconfig\0""",0x700010636360,0x0
65726,2636828,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/mainservice/.editorconfig\0""",0x700010636360,0x0
65729,2636835,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/.editorconfig\0""",0x700010636360,0x0
65731,2636842,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/.editorconfig\0""",0x700010636360,0x0
65732,2636847,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/.editorconfig\0""",0x700010636360,0x0
65735,2636854,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/.editorconfig\0""",0x700010636360,0x0
65736,2636859,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/.editorconfig\0""",0x700010636360,0x0
65737,2636862,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/.editorconfig\0""",0x700010636360,0x0
65738,2636866,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.editorconfig\0""",0x700010636360,0x0
65739,2636873,stat64,"""/Users/vakosta/Developer/IdeaProjects/.editorconfig\0""",0x700010636360,0x0
65740,2636877,stat64,"""/Users/vakosta/Developer/.editorconfig\0""",0x700010636360,0x0
65741,2636880,stat64,"""/Users/vakosta/.editorconfig\0""",0x700010636360,0x0
65742,2636884,stat64,"""/Users/.editorconfig\0""",0x700010636360,0x0
65792,2637119,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/mainservice/entities/.editorconfig\0""",0x700010636360,0x0
65795,2637127,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/mainservice/.editorconfig\0""",0x700010636360,0x0
65797,2637131,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/.editorconfig\0""",0x700010636360,0x0
65801,2637168,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/.editorconfig\0""",0x700010636360,0x0
65803,2637174,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/.editorconfig\0""",0x700010636360,0x0
65804,2637177,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/.editorconfig\0""",0x700010636360,0x0
65806,2637196,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/.editorconfig\0""",0x700010636360,0x0
65811,2637212,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/.editorconfig\0""",0x700010636360,0x0
65812,2637216,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.editorconfig\0""",0x700010636360,0x0
65815,2637219,stat64,"""/Users/vakosta/Developer/IdeaProjects/.editorconfig\0""",0x700010636360,0x0
65817,2637223,stat64,"""/Users/vakosta/Developer/.editorconfig\0""",0x700010636360,0x0
65822,2637228,stat64,"""/Users/vakosta/.editorconfig\0""",0x700010636360,0x0
65829,2637241,stat64,"""/Users/.editorconfig\0""",0x700010636360,0x0
65987,2637459,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/mainservice/entities/.editorconfig\0""",0x700010636360,0x0
65990,2637483,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/mainservice/.editorconfig\0""",0x700010636360,0x0
65993,2637492,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/main-service/src/main/kotlin/tv/comnata/.editorconfig\0""",0x700010636360,0x0
